source,target,role
"101015","100402","Councilman Yen"
"101015","14161","Tenzin"
"101015","155","Lau"
"101016","119431","Junjie Chen"
"101016","14161","Nima"
"101017","14161","Sasha"
"101017","173897","Leon S. Kennedy"
"101017","45156","Doug"
"101017","71679","Leon S. Kennedy"
"1010189","127585","Roberto da Costa"
"1010189","127585","Sunspot"
"101028","39545","Steph"
"101028","69778","Sue Plummer"
"101033","28510","Captain Kevin Burke"
"1010349","249021","Android Jane"
"1010","379","Caspar's Driver"
"1010448","8974","Woman in Church (uncredited)"
"1010","50671","Moving Man"
"1010","7300","Lt. Bonomo"
"1010","9722","Joey Props"
"1011102","9066","Bobby Brady"
"101","12245","Lorna"
"10112","670","Lee Woo-jin"
"101130","30874","Heather"
"101","140","Mónica"
"1011510","4488","Annie"
"101154","14655","Full-Figured Neighbor"
"101172","11618","Dr. Malcolm Keogh"
"101172","17169","Patrick Scarfe"
"101172","17689","Feyderspiel"
"101","20","Neighbor Ann"
"101219","58244","Reporter"
"101","2266","La maîtresse (Bastille)"
"1012320","209049","Gu Yuan"
"1012320","84111","Ching-Teng Ko"
"1012338","10658","Cal, Cherry Bomb"
"101247","14613","Hawkeye"
"101250","10726","Barbara"
"101250","924","Monica"
"101255","924","Luda"
"101257","9812","Jimmy"
"10127","10155","Blind Man"
"10127","10669","Ed"
"10127","11893","Oscar 'Manny' Manheim"
"10127","11975","Leo F. Drummond"
"10127","12193","Creighton"
"10127","13150","Francis Tierney, Sr."
"10127","14462","Senator Thomas Jordan (D-CT)"
"10127","146227","The Voice"
"10127","14709","Coach Bud Kilmer"
"10127","1858","John Keller"
"10127","1995","Lord Croft"
"10127","2059","Patrick Henry Gates"
"10127","3116","Joe Buck"
"1012752","134597","Abby"
"10127","6637","Patrick Gates"
"10127","676","President Franklin Delano Roosevelt"
"10127","8326","Marion Sevillo"
"10127","8489","Howard Cosell"
"10127","9360","Paul Sarone"
"10127","9398","Larry Zoolander"
"10127","949","Nate"
"10127","954","Jim Phelps"
"10127","9798","Reynolds"
"10127","9918","Adolph Rupp"
"10128","13466","Roy Lee"
"10128","1954","Tommy Miller"
"10128","2832","Lou"
"10128","676","Lt. Billy Thompson"
"10128","782","Young Anton Freeman"
"10128","9679","Toby"
"1012902","48231","Ernest Jones"
"1012973","604","18 Wheel Trucker"
"10","12","Mr. Ray"
"10130","676","Nurse Barbara"
"10131","15037","Earth Girl"
"10131","565","Babysitter"
"10131","676","Nurse Martha"
"10131","7512","Attorney General (uncredited)"
"10132","10195","King Laufey"
"10132","102382","Donald Menken"
"10132","11078","Detective Frank McDuff"
"10132","12524","Marcus Andronicus"
"10132","137094","Rob Behringer"
"10132","13989","Henry Taylor"
"10132","14154","T. Kenneth Hassert"
"10132","14154","Joshua"
"10132","14283","Auctioneer (Montréal)"
"10132","1574","Harrison"
"10132","2789","Lord Marshal"
"10132","3580","Chief James E. Davis"
"10132","676","Adm. Husband E. Kimmel"
"10132","754","Dr. Malcolm Walsh"
"10132","795","Jordan"
"10132","8643","Karl Gunderson"
"10132","9008","Richard Scruggs"
"10132","9620","Wolfe"
"101330","19204","Liza Merril (as Katherine MacColl)"
"101330","9726","English Couple #1"
"10133","11422","Rear Admiral Tamon Yamaguchi"
"10133","12500","Shinyuki"
"10133","6399","Kamasuka"
"10133","676","Nishikura"
"10134","11817","Mr. Kojima"
"10134","1273","Splinter (voice)"
"10134","16340","Mr. Yamaguchi"
"10134","5550","Kanemitsu"
"10134","676","Adm. Isoroku Yamamoto"
"10134","7007","Yoshida-san"
"10134","8011","Nakano"
"10134","9387","The Wizard"
"10134","9387","Narrator"
"10134","9610","Akiro 'The Wizard'"
"10134","978","Kungo Tsarong"
"10135","10065","Billy Lutz"
"10135","1954","Tommy age 13"
"10135","4133","Young George"
"10135","676","Young Rafe"
"10135","8247","Young Mark"
"10136","676","Young Danny"
"101377","11418","Mr. Froeger"
"101377","13282","Frankenstein's Doctor"
"101377","24831","Mr. Dumont"
"101377","33914","Mr. Walsh"
"101377","629","Smuggler"
"101377","928","Theatre Manager"
"10138","11212","Veeko"
"10138","13223","Mitch Kowalski"
"10138","200505","NFL Commissioner"
"10138","676","Training Captain"
"1013882","10803","Cub"
"10","13929","Geri (voice)"
"101396","10304","Sgt. Dede Rake"
"101396","9100","Doctor"
"101400","68818","Yana"
"1014122","34588","Bárbara"
"10","14160","Dug"
"10","14160","Alpha (voice)"
"101416","19724","Brock Pressman"
"101416","39285","Tom"
"1014310","4488","Crazy Ralph"
"1014310","9725","Crazy Ralph"
"101433","14097","Vorobey"
"101433","2269","Kostja"
"101433","3040","Kostja"
"101436","14097","Dzhokonda"
"1014729","70954","Free"
"101479","11549","Nurse Sally Withers"
"101481","11549","Wilma Lentz"
"101481","1879","Hilary St. George"
"1014932","133805","Sue Snell"
"1014932","226857","Jade Butterfield"
"1014932","37565","Saffy"
"1014932","52451","Constance"
"101519","28665","Denise Dupree"
"101519","41382","Stacie"
"101521","28665","Alice Ellerton"
"101522","12645","Arturo"
"101522","24428","Shield Pilot"
"101522","28665","Victor Taveras"
"101522","68684","Elliot Fink"
"101542","172533","Dave"
"101542","83899","Tariq"
"1015616","13613","Receptionist"
"101565","38365","Jasmine Hilliard"
"101575","15516","Krug Stillo"
"10158","11422","Vice Adm. William F. 'Bull' Halsey Jr."
"10158","15876","Capt. Murrell"
"10158","1598","Lieutenant Elgart"
"101582","15516","Mari Collingwood"
"10158","3112","Harry Powell"
"1015836","584","Darden"
"10158","6644","Sheriff J.P. Harrah"
"1015873","199584","Kim Taewon"
"10158","922","John Dickinson"
"10158","9289","Brig. Gen. Norman Cota"
"10158","9647","Grace Cooley"
"10158","9647","Preston Rhinelander"
"10160","4174","Mary Carmichael"
"101606","12185","Bentley"
"1016071","86331","Cécile"
"1016168","109584","Older Skunk"
"1016168","57165","Korrina"
"10162","10178","Chief Budge"
"1016305","14283","Junior Policeman (Shanghai)"
"101","64","Alicia"
"101652","620","Female Student"
"1016571","8974","Man (uncredited)"
"10167","10655","Brig. Gen. J. Johnston Pettigrew"
"10167","668","James Bond"
"10168","14202","Mother Superior"
"10168","14900","Lady Holiday"
"10168","668","Tracy Di Vicenzo"
"10169","11589","Master Sergeant Big Joe"
"10169","11935","Albain"
"10169","11950","Hymie Kaplan"
"10169","1654","Archer Maggott"
"10169","668","Ernst Stavro Blofeld"
"10169","898","Feto Gomez"
"10170","668","Irma Bunt"
"10171","12208","Buttercup"
"10171","668","Ruby Bartlett"
"1017","196024","Merete Lynggaard"
"1017294","74461","Gunther"
"10173","668","Sir Hilary Bray"
"10173","691","Captain Benson"
"10174","197","Balliol"
"10174","668","Campbell"
"101747","11595","Detective Joe Stevens"
"1017521","16563","Carl"
"101755","11281","Mr. Garrett"
"101762","150","Hooker"
"101762","20187","George"
"101765","12262","Fred"
"101768","12262","Ethel Carter"
"101777","10779","Old Lady Bradley"
"101781","11298","Jerry Warren"
"101781","26171","Dr. Ed"
"101781","9919","Jack"
"101784","10019","Hollywood"
"101784","11298","Shantz"
"101785","33278","Tom 'Slime' Toomey"
"101805","28739","Dane"
"101806","28739","Cassie"
"1018","1023","Holger"
"1018","13448","Mr. Gray"
"1018","173603","Thomas Borby"
"1018","196024","Carl Mørk"
"10182","10142","Lt. Reilly"
"10182","112304","Grimaud"
"10182","11544","Cobra Bubbles (voice)"
"10182","11566","Duane Stevenson"
"10182","13122","Leroy"
"10182","13613","Captain Rhodes"
"10182","1389","Buddy Bragg"
"10182","15070","George 'Iceman' Chambers"
"10182","156717","Weyland"
"10182","16161","Melvin 'Mel'"
"10182","16325","Agent Dave Grant"
"10182","1701","Nathan Jones"
"10182","1844","Aaron Thibadeaux"
"10182","19905","Jibby Newsome"
"10182","19959","Prophet"
"10182","2114","Sgt. Ryan Whitaker"
"10182","227359","Ice Man"
"10182","2291","George"
"10182","233470","Conrad"
"10182","24056","Joshua Harlow"
"10182","3563","Fred G. Duncan"
"10182","41135","Judgement"
"10182","43593","Deputy Fallon"
"1018","250","Martin"
"10182","51620","Weyland"
"10182","56292","Luther Stickell"
"10182","680","Marsellus Wallace"
"10182","71668","Deputy Fallon"
"10182","75735","Henry"
"10182","8649","Marcus"
"10182","924","Kenneth"
"10182","954","Luther Stickell"
"10182","955","Luther Stickell"
"10182","956","Luther Stickell"
"10182","9879","Shad"
"1018385","181009","Yang Yanding, second son"
"1018","452","Jeppe"
"101847","155084","Police Captain"
"101847","166424","D.C. General Official"
"101847","252680","Ronald"
"101847","31007","Hamilton"
"101847","46441","Detective Huston"
"101847","82532","Elderly Man"
"101851","13550","Dr. Pemberton"
"101853","13188","Fred"
"1018","65760","Jan Van Der Velde"
"1018707","55292","Singer"
"101879","11176","Himself"
"101879","11176","Charlie McCarthy - (voice)"
"101881","596","Davis"
"101893","10803","Woman Customer"
"1018984","248611","Myriam"
"10190","10403","Movie Star"
"101901","506","Man at Track"
"10190","681","Tiffany Case"
"101908","13531","Rex Manning"
"101908","9037","Michael Carrington"
"1019097","98948","John Wilkinson"
"1019099","98948","General Stonewall Jackson"
"1019","1023","Ivan"
"1019","103663","Lucas"
"10191","3114","Debbie Edwards (younger)"
"10191","681","Plenty O'Toole"
"1019","18823","Draco"
"1019","2061","Tonny"
"1019259","975","German Singer"
"10192","681","Willard Whyte"
"1019","36557","Le Chiffre"
"1019","37861","One-Eye"
"1019","41602","Nigel"
"10194","681","Mr. Wint"
"10194","829","Duffy"
"10195","11690","Helmer"
"1019","52451","Rochefort"
"10195","5919","Giddings"
"10195","681","Felix Leiter"
"10196","681","Prof. Dr. Metz"
"1019","88273","Johann Friedrich Struensee"
"1019","9477","Tristan"
"10205","10130","Dian Fossey"
"10205","10199","The Narrator"
"10205","10833","Max Conners"
"10205","11566","Ellen Mitchell"
"10205","1492","Queen Isabella"
"10205","1710","Helen Hudson"
"10205","19995","Dr. Grace Augustine"
"10205","21634","Mary Griffith"
"10205","22970","The Director"
"10205","2978","Dana Barrett"
"10205","348","Ripley"
"10205","3525","Katharine Parker"
"10205","38303","Aunt Ramona"
"10205","39513","Tara"
"10205","4953","Ms. Lawson"
"10205","52067","Macy Vanderhei"
"10205","5393","Frieda"
"10205","59965","Dr. Bennett"
"10205","620","Dana Barrett"
"10205","679","Lieutenant Ellen Ripley"
"10205","6947","Alice Hunt"
"10205","703","Alvy's Date Outside Theatre"
"10205","73935","Cisserus"
"10205","7461","Rex Brooks"
"10205","75622","Joan Confrey"
"10205","75638","Margaret Matheson"
"10205","77948","Jean Carrack"
"10205","8077","Ripley"
"10205","8078","Ripley"
"10205","8326","Warden Walker"
"10205","8780","Chaffee Bicknell"
"10205","926","Gwen DeMarco"
"10206","679","Rebecca Newt Jorden"
"1020716","38541","Sam"
"1020716","87436","Bobo"
"1020745","13742","Maurice"
"10208","679","Sergeant A. Apone"
"10208","714","Master Sergeant 3"
"10210","132232","Dr. Dreyfuss"
"10210","45324","Kontantinos (Gus) Boulis"
"10210","679","Private D. Spunkmeyer"
"10212","10351","Lt. Nathanson"
"10212","679","Private R. Frost"
"10213","679","Private T. Crowe"
"10215","14831","Paul"
"10215","157117","Himself"
"10215","704","himself"
"1021869","22796","Simon Birch"
"1022040","11202","soldier"
"102209","11422","Pilot Chili Bean Ramos"
"102209","27932","Julio"
"10222","11286","Seymour Goldfarb, Jr."
"102222","236737","Merche"
"10222","253","James Bond"
"102222","8088","Chon"
"10222","6116","The Chief"
"10222","682","James Bond"
"10222","691","James Bond"
"10222","698","James Bond"
"10222","699","James Bond"
"10222","700","James Bond"
"10222","707","James Bond"
"10222","9103","Lord Edgar Dobbs"
"10222","9557","Lloyd Faversham"
"10223","156711","Mrs. Wattlesbrook"
"10223","16633","Elise McKenna"
"10223","17097","Janet"
"10223","18937","Juliana (voice)"
"10223","253","Solitaire"
"10223","59296","Betty"
"10223","9522","Kathleen Cleary"
"10224","11558","Sheriff Chauncey"
"10224","13554","Charles 'Commie' Comiskey"
"10224","253","Sheriff J.W. Pepper"
"10224","682","Sheriff J.W. Pepper"
"10224","8536","Sheriff"
"10224","903","Carr"
"10224","9586","Albert Fox"
"10225","15739","Punjab"
"10225","253","Baron Samedi"
"10226","11815","Andre Delambre"
"10226","15876","Lt. Ware"
"10226","253","Felix Leiter"
"1022633","11700","Count Carl Magnus Malcolm"
"1022633","5961","Gustav Adolf Ekdahl"
"10226","709","Felix Leiter"
"10227","253","Rosie Carver"
"102306","11916","1st American"
"102306","11916","Col. Beltran"
"102309","1542","Nina"
"1023139","121986","Miles"
"1023139","203819","Rick Smolan"
"1023139","212716","Allan"
"1023139","239678","Phillip Altman"
"1023139","72976","Samuel Beckwith"
"1023139","86829","Al Cody"
"1023139","88794","Walter Lyle"
"102336","2616","Additional Voices (voice)"
"102336","38055","Newscaster"
"102392","10328","Pillsbury"
"1024234","116811","Elena"
"1024234","37724","Bond's Lover"
"102426","11901","Mordecai"
"102429","11298","Man in Phone Booth"
"102429","240","Senator #2"
"102429","274","FBI Director Hayden Burke"
"102429","4234","Hollywood Executive"
"102429","568","Congressman"
"102429","9800","Mr. Laird"
"10243","37903","Leichenwäscherin"
"102436","9725","Scott"
"1024396","89501","Bak Changu"
"102441","10843","Diner Waiter (Pete)"
"102441","11298","Walter Paisley - Bookstore Owner"
"102441","11519","Officer Miller"
"102441","11974","Vic, Garbageman #1"
"102441","14919","Charles 'Chuckie' Sol"
"102441","218","Pawnshop Clerk"
"102441","24452","Burson Fouch"
"102441","24831","Buck Gardner"
"102441","2614","Cab Driver"
"102441","45650","Pizza Delivery Guy"
"102441","9059","Uncle Willy"
"102441","927","Murray Futterman"
"102441","928","Murray Futterman"
"102445","11298","Morgue Attendant"
"102445","13554","Ring Lardner"
"102445","13975","Michael Goldman"
"102445","24831","Army Sentry"
"102448","24831","Laura Dickinson"
"102448","506","Marnie (as a child)"
"1024546","705","Doorman"
"10","24589","Dug"
"10","24589","Alpha (voice)"
"10246","30508","Clubchef Tom"
"1024722","10202","Tricia Sparks"
"1024722","157547","Young Kaylie"
"1024815","90125","Himself"
"102515","20606","The Teen"
"102556","132712","Laura"
"10255","73262","Bäuerin Elisabeth"
"10256","11976","Honeythorn Gump"
"1025651","75674","Recruit"
"10257","175774","Tante Maddy"
"10257","53174","Patientin"
"10262","1716","Arlette Guillaume"
"10263","1716","Lucas Steiner"
"10263","21484","Heinrich"
"102657","238589","ICE Leader"
"102661","11772","Carrie Fredericks"
"102663","11046","Sgt. Harrod"
"102687","981","George Kittredge"
"102713","11811","J.D. Reding"
"102716","10014","Angela Walsh"
"102726","24452","Siddie Shiva"
"102744","23629","Lobotomy Nurse"
"102744","23629","High Roller Girl #1"
"102744","42941","Betty"
"102744","60304","Candy Witch"
"102760","14035","Roxanne"
"102760","14174","Marla"
"102777","56780","Newscaster"
"102786","26214","Himself"
"102787","30462","Esteban"
"102794","20178","Bonnie"
"1028072","11622","Heather"
"1028072","9067","Liquid Silver Dancer"
"102823","10489","Bannerman"
"102823","2133","Quentin - The Old Timer"
"102858","18988","Alais"
"102860","9325","The Girl (voice)"
"102894","8675","Nurse"
"102894","9469","Suzie"
"102934","10160","Himself"
"10297","103731","Mud"
"10297","106646","Mark Hanna"
"10297","11170","Jack Lengyel"
"10297","11374","Ed 'Eddie' Pekurny"
"10297","11831","Roger Sherman Baldwin"
"10297","12149","Adam Meiks"
"10297","12556","Connor Mead"
"10297","152532","Ron Woodroof"
"10297","1645","Jake Tyler Brigance"
"10297","2018","Steve Edison"
"10297","24795","Ben Williams"
"10297","3536","Lt. Andrew Tyler"
"10297","50348","Mickey Haller"
"10297","6278","Denton Van Zan"
"10297","686","Palmer Joss"
"10297","6877","Tripp"
"10297","73567","Killer Joe Cooper"
"10297","7364","Dirk Pitt"
"10297","7446","Rick Peck"
"10297","77930","Dallas"
"10297","82390","Ward Jansen"
"10297","8676","Ben 'Finn' Finnegan"
"10297","92591","Danny Buck Davidson"
"10297","9571","David Wooderson"
"10297","9910","Brandon Lang"
"10297","9919","Benjamin Barry"
"1029801","102001","Akiko"
"1029801","171846","Hisae"
"102984","20604","Himself"
"1030204","286554","Bouncer"
"1030252","49538","Janos Quested"
"1030252","49538","Riptide"
"1030261","37724","Sévérine"
"1030313","18360","Teenage Boy #3"
"103035","13368","John"
"1030490","71469","Vika"
"1030493","71469","Tess"
"103069","10785","Captain Patrick Hendry"
"103069","11298","Older Cop"
"103071","13909","Lt. Flint Cohill"
"103071","37347","2nd Lt. Michael Shannon O'Rourke"
"103071","9077","Dr. Matt Hastings"
"103079","74","Grandmother"
"103079","8974","Sylvia Van Buren"
"103087","10242","Elvira Stitt"
"103087","10676","Nurse Agnes"
"1030995","177494","Martina Vasquez"
"1030995","67660","Melissa"
"103","10096","Matt Flamhaff"
"103","112200","Adam"
"103","11324","Chuck Aule"
"103","113833","Ned Weeks"
"103","11523","Ted Stewart"
"103","12100","Pappas"
"103","1538","Fanning"
"103","16523","Connie's boyfriend"
"103","1717","Adam Stanton"
"103","1949","Dave Toschi"
"103","198277","Dan"
"103","20","Lee"
"103","2100","Yates"
"1032","103","Man in cab"
"1032","10555","Sykes (voice)"
"1032","110354","Himself"
"1032","11450","Martin Rittenhome"
"1032","12516","Vincent Van Gogh"
"103","21755","Stephen"
"103","24428","Bruce Banner"
"103","24428","The Hulk"
"103","2800","Jeff Daly"
"1032810","206419","Tori"
"1032810","51481","Hope"
"1032","8649","Dispatcher (Voice)"
"1033293","1585","Bailey Child - Zuzu"
"1033293","19490","Debby Brougham"
"103330","17740","Doctor Brooks"
"103330","56780","Dr. Robert Stadler"
"103330","7445","Murad"
"103","35056","Brad Sullivan"
"103351","18823","Prokopion"
"103351","38150","Lee Morgan"
"103351","59678","Brewis"
"103351","65760","Jim Higgins"
"103352","55846","McDonald"
"103","3682","Ricko"
"1033719","58699","Mike"
"103388","50479","Miles"
"103389","55779","Olivia"
"103","38","Stan"
"103","39781","Paul"
"10341","16307","Willow"
"10341","682","Mary Goodnight"
"10342","11484","Ella"
"10342","682","Andrea Anders"
"10342","700","Octopussy"
"1034302","178446","Hildegard"
"10343","682","Nick Nack"
"1034453","175528","Tanya"
"1034453","184098","Sonia"
"1034453","67660","Sonia"
"10344","682","Hai Fat"
"1034471","209410","Gayatri"
"103","44754","Jason Berstone"
"103448","10882","Fauna"
"10345","10674","Fa Zhou (voice)"
"10345","12242","Fa Zhou"
"10345","682","Lieutenant Hip"
"10345","9622","Sensei"
"103501","3083","Editor (uncredited)"
"103529","429","Stevens"
"103551","39103","Goku"
"103554","189197","Gwen"
"103554","19901","Alison Bromley"
"103554","23128","Herself"
"103554","37958","Athena"
"103554","60747","Erica Martin"
"103554","8373","Alice"
"10356","24402","Bee"
"103593","13154","Angel Mueller"
"10360","11259","Daniel Christie"
"10360","11393","The Judge"
"10360","2617","Wally"
"10360","687","Hilton Barber"
"10360","788","Jonathan Lundy"
"10360","8769","Will Darnell"
"10360","928","Grandpa Fred"
"1036","103","Betsy"
"10361","11933","Mark"
"10361","1440","Bullhorn Bob"
"10361","2604","Mr. Kovic"
"10361","6575","Pa Cox"
"10361","687","Earl Delacroix"
"103617","11367","Mancino"
"103617","11616","Mr. Spider"
"103617","11689","Fred's Henchman"
"103617","11829","Chief of the Dallas gunmen"
"103617","1721","Naso"
"103617","9394","Jeff"
"10361","864","Kurt Hemphill"
"10361","9091","Vizepräsident Daniel Bender"
"10361","9574","Chester Hoenicker"
"1036","41180","Cassie"
"10366","687","Luis Montoya"
"10367","10048","Black Ops Doctor"
"10367","104155","Himself"
"10367","11249","Pete Peters"
"10367","14158","Himself"
"10367","16070","Himself - Director of 'A Dirty Shame'"
"10367","84194","William"
"10367","9684","Mr. Haynes"
"1036826","75622","30-Year-Old Cop"
"10369","11054","Edna Turnblad"
"103707","1705","MacDonald"
"103707","17814","Ethan Bishop"
"1037","10337","Mickey Cohen"
"1037","103","'Sport' Matthew"
"1037","10498","Victor the Cleaner"
"1037","11051","Judas"
"1037","120467","Ludwig"
"1037","12143","Lieutenant"
"1037","152795","Al"
"1037","1541","Investigator Hal Slocumb"
"1037","19761","Benson"
"1037","2005","Vince LaRocca"
"1037","203","Charlie Cappa"
"1037","2059","Sadusky"
"1037","2142","Ray Donlan"
"1037","3536","CPO Henry Klough"
"1037","39451","Randy Weir"
"1037","4551","Nick Carr"
"1037","500","Mr. White"
"1037","500","Larry Dimmick"
"103","75656","Dylan Rhodes"
"1037633","10780","Greg Proffitt"
"1037","6637","Agent Sadusky"
"1037","680","Wolf"
"1037","7007","Lt. Tom Graham"
"1037","713","George Baines"
"1037","755","Jacob Fuller"
"1037","83666","Commander Pierce"
"10379","10521","Colson"
"10379","27576","3-Star General"
"1037","9533","Jack Crawford"
"1037","9678","Dad"
"10379","688","Michael Johnson"
"103798","12500","Victor Ortega"
"10380","10678","Ed Tobias"
"10380","11428","Sheriff Ira"
"10380","11509","Bradley"
"10380","13519","Deputy Kingsolving"
"10380","150","Old Cop"
"10380","19384","Captain Malone"
"103804","1642","Trooper"
"10380","6623","General Garnett"
"10380","688","Richard Johnson"
"10380","790","Dockmaster"
"1038","103","Iris Steensma"
"1038","10488","Alexandra Rover"
"1038","1049","Laurel Sommersby"
"1038","10868","Sarah Tobias"
"1038","1439","Anna Leonowens"
"1038","14612","Casey"
"1038","16084","Annabel Andrews"
"1038","1945","Nell Kellty"
"1038","19971","Rynn Jacobs"
"1038","274","Clarice Starling"
"1038","2841","Elodie Gordes"
